Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm_recq5-1-negctrl-c13-w25_	p	21	16	25.0%	0.0%	0.0%	0	NA	63.0%	77	NA	0.0%	0.0%	0
blm_recq5-1-negctrl-c14-w25_	p	69	40	25.0%	0.0%	0.0%	0	NA	40.0%	58	NA	0.0%	0.0%	0
blm_recq5-1-single-c13-w1_	p	913871	835396	11.7%	1.8%	29.4%	121	59.4%	46.0%	152	0.23	0.0%	2.0%	0
blm_recq5-1-single-c13-w10_	p	60587	55570	9.9%	0.1%	2.7%	8	11.1%	43.0%	157	>=2	0.0%	0.2%	0
blm_recq5-1-single-c13-w11_	p	60457	55312	12.7%	0.1%	6.7%	8	14.8%	49.0%	152	>=2	0.0%	0.2%	0
blm_recq5-1-single-c13-w12_	p	153165	139794	11.3%	0.3%	3.0%	20	3.3%	43.0%	151	>=2	0.0%	0.7%	0
blm_recq5-1-single-c13-w13_	p	52443	47898	13.8%	0.1%	2.9%	6	16.0%	48.0%	151	>=2	0.0%	0.0%	0
blm_recq5-1-single-c13-w14_	p	78029	71184	15.3%	0.1%	3.4%	9	14.8%	46.0%	154	>=2	0.0%	0.1%	0
blm_recq5-1-single-c13-w15_	p	92370	84548	10.3%	0.2%	5.9%	12	19.2%	46.0%	153	>=2	0.0%	0.2%	0
blm_recq5-1-single-c13-w16_	p	42568	38696	12.0%	0.1%	1.8%	5	4.3%	47.0%	156	NA	0.0%	0.0%	0
blm_recq5-1-single-c13-w17_	p	36723	33872	6.6%	0.1%	4.7%	5	14.3%	45.0%	154	>=2	0.0%	0.1%	0
blm_recq5-1-single-c13-w18_	p	225044	206174	10.7%	0.4%	4.8%	30	16.3%	41.0%	150	0.82	0.0%	0.4%	0
blm_recq5-1-single-c13-w19_	p	72320	65772	15.0%	0.1%	4.3%	9	7.4%	49.0%	154	>=2	0.0%	0.1%	0
blm_recq5-1-single-c13-w2_	p	883146	806808	11.4%	1.7%	36.2%	115	57.1%	46.0%	151	0.23	0.0%	1.1%	0
blm_recq5-1-single-c13-w20_	p	68829	62698	11.9%	0.1%	2.0%	9	7.1%	46.0%	151	>=2	0.0%	0.1%	0
blm_recq5-1-single-c13-w21_	p	95484	86900	12.6%	0.2%	3.0%	12	14.3%	45.0%	151	>=2	0.0%	0.2%	0
blm_recq5-1-single-c13-w22_	p	101693	93162	13.1%	0.2%	30.0%	11	11.1%	50.0%	153	>=2	0.0%	0.1%	0
blm_recq5-1-single-c13-w23_	p	64968	59164	12.8%	0.1%	2.3%	8	8.0%	46.0%	152	>=2	0.0%	0.0%	0
blm_recq5-1-single-c13-w24_	p	49337	45238	12.9%	0.1%	2.7%	6	8.0%	47.0%	156	NA	0.0%	0.1%	0
blm_recq5-1-single-c13-w26_	p	197475	180234	10.9%	0.4%	1.9%	26	13.3%	40.0%	150	1.64	0.0%	0.4%	0
blm_recq5-1-single-c13-w27_	p	76090	69484	11.0%	0.2%	2.6%	9	14.8%	46.0%	151	NA	0.0%	0.1%	0
blm_recq5-1-single-c13-w28_	p	95685	87718	9.5%	0.2%	13.5%	12	10.7%	44.0%	153	0.58	0.0%	0.0%	0
blm_recq5-1-single-c13-w29_	p	90932	83192	8.1%	0.2%	2.8%	12	19.4%	43.0%	152	>=2	0.0%	0.2%	0
blm_recq5-1-single-c13-w3_	p	899903	821422	10.8%	1.8%	24.1%	120	63.3%	47.0%	152	0.22	0.0%	1.2%	0
blm_recq5-1-single-c13-w30_	p	134529	122486	10.8%	0.3%	2.7%	18	10.3%	46.0%	152	NA	0.0%	0.4%	0
blm_recq5-1-single-c13-w31_	p	34	32	31.3%	0.0%	0.0%	0	NA	49.0%	159	NA	0.0%	0.0%	0
blm_recq5-1-single-c13-w32_	p	141184	129168	8.7%	0.3%	2.3%	19	4.9%	42.0%	153	NA	0.0%	0.2%	0
blm_recq5-1-single-c13-w33_	p	175047	159790	10.3%	0.4%	2.1%	23	12.2%	40.0%	153	1.26	0.0%	0.3%	0
